2026-09-11T13:22:29.300Z [env] 6 variaveis carregadas de .env (valores nao exibidos)
2026-09-11T13:22:29.300Z [db] lendo em modo somente-leitura: /opt/erp-wake/data/app.db
2026-09-11T13:22:29.322Z [db] 2318 produtos ativos; CD=25 tabela=74 promocao=10365 CISS empresa=2 local=2
2026-09-11T13:22:29.322Z [db] intervalo produtoVarianteId da whitelist: 278078..283202
2026-09-11T13:22:29.323Z [auth] token Wake: env; token CISS: db (valores nunca exibidos)
2026-09-11T13:22:29.326Z [wake] GET /produtos CD=25 intervalo 278078..283202
2026-09-11T13:25:19.633Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282698 -> 200 (rate-limit restante=95)
2026-09-11T13:25:21.629Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282748 -> 200 (rate-limit restante=94)
2026-09-11T13:25:23.633Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282798 -> 200 (rate-limit restante=93)
2026-09-11T13:25:25.632Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282848 -> 200 (rate-limit restante=92)
2026-09-11T13:25:27.744Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282898 -> 200 (rate-limit restante=91)
2026-09-11T13:25:29.636Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282948 -> 200 (rate-limit restante=90)
2026-09-11T13:25:31.635Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=282998 -> 200 (rate-limit restante=119)
2026-09-11T13:25:33.634Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=283048 -> 200 (rate-limit restante=118)
2026-09-11T13:25:35.637Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=283098 -> 200 (rate-limit restante=117)
2026-09-11T13:25:37.636Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=283148 -> 200 (rate-limit restante=116)
2026-09-11T13:25:39.665Z [wake] GET /produtos?centrosDistribuicao=25&quantidadeRegistros=50&camposAdicionais=Estoque&produtoVarianteIdDe=283198 -> 200 (rate-limit restante=115)
2026-09-11T13:25:41.599Z [wake] GET /tabelaPrecos/74/produtos?pagina=1&quantidadeRegistros=50 -> 200 (rate-limit restante=119)
2026-09-11T13:25:43.590Z [wake] GET /tabelaPrecos/74/produtos?pagina=2&quantidadeRegistros=50 -> 200 (rate-limit restante=118)
2026-09-11T13:25:45.593Z [wake] GET /tabelaPrecos/74/produtos?pagina=3&quantidadeRegistros=50 -> 200 (rate-limit restante=117)
2026-09-11T13:25:47.593Z [wake] GET /tabelaPrecos/74/produtos?pagina=4&quantidadeRegistros=50 -> 200 (rate-limit restante=116)
2026-09-11T13:25:49.598Z [wake] GET /tabelaPrecos/74/produtos?pagina=5&quantidadeRegistros=50 -> 200 (rate-limit restante=115)
2026-09-11T13:25:51.597Z [wake] GET /tabelaPrecos/74/produtos?pagina=6&quantidadeRegistros=50 -> 200 (rate-limit restante=114)
2026-09-11T13:25:53.610Z [wake] GET /tabelaPrecos/74/produtos?pagina=7&quantidadeRegistros=50 -> 200 (rate-limit restante=113)
2026-09-11T13:25:55.601Z [wake] GET /tabelaPrecos/74/produtos?pagina=8&quantidadeRegistros=50 -> 200 (rate-limit restante=112)
2026-09-11T13:25:57.602Z [wake] GET /tabelaPrecos/74/produtos?pagina=9&quantidadeRegistros=50 -> 200 (rate-limit restante=111)
2026-09-11T13:25:59.727Z [wake] GET /tabelaPrecos/74/produtos?pagina=10&quantidadeRegistros=50 -> 200 (rate-limit restante=110)
2026-09-11T13:26:01.606Z [wake] GET /tabelaPrecos/74/produtos?pagina=11&quantidadeRegistros=50 -> 200 (rate-limit restante=109)
2026-09-11T13:26:03.609Z [wake] GET /tabelaPrecos/74/produtos?pagina=12&quantidadeRegistros=50 -> 200 (rate-limit restante=108)
2026-09-11T13:26:05.604Z [wake] GET /tabelaPrecos/74/produtos?pagina=13&quantidadeRegistros=50 -> 200 (rate-limit restante=107)
2026-09-11T13:26:07.609Z [wake] GET /tabelaPrecos/74/produtos?pagina=14&quantidadeRegistros=50 -> 200 (rate-limit restante=106)
2026-09-11T13:26:09.606Z [wake] GET /tabelaPrecos/74/produtos?pagina=15&quantidadeRegistros=50 -> 200 (rate-limit restante=105)
2026-09-11T13:26:11.609Z [wake] GET /tabelaPrecos/74/produtos?pagina=16&quantidadeRegistros=50 -> 200 (rate-limit restante=104)
